strategy,symbol,interval,total_trades,win_rate,profit_factor,total_pnl_percent,max_drawdown_percent,sharpe_ratio,status
7day-momentum-crypto,BTCUSDT,1h,1622,45.50,0.49,-85.57,85.59,0,completed
7day-momentum-crypto,BTCUSDT,4h,673,54.68,0.77,-48.99,50.15,0,completed
7day-momentum-crypto,BTCUSDT,1d,173,56.07,0.51,-36.03,38.76,0,completed
7day-momentum-crypto,BTCUSDT,1w,20,75.00,1.21,1.93,9.80,0,completed
7day-momentum-crypto,ETHUSDT,1h,1772,47.52,0.59,-88.06,88.06,0,completed
7day-momentum-crypto,ETHUSDT,4h,671,56.04,0.72,-57.47,58.33,0,completed
7day-momentum-crypto,ETHUSDT,1d,172,71.51,1.39,15.90,10.50,0,completed
7day-momentum-crypto,ETHUSDT,1w,11,27.27,0.09,-25.76,28.18,0,completed
7day-momentum-crypto,SOLUSDT,1h,2063,50.99,0.63,-91.77,91.86,0,completed
7day-momentum-crypto,SOLUSDT,4h,729,59.53,0.78,-55.84,58.84,0,completed
7day-momentum-crypto,SOLUSDT,1d,186,66.67,0.90,-13.87,38.35,0,completed
7day-momentum-crypto,SOLUSDT,1w,0,0,0,0,0,0,no_trades
7day-momentum-crypto,XRPUSDT,1h,1882,47.82,0.58,-90.65,90.84,0,completed
7day-momentum-crypto,XRPUSDT,4h,664,55.72,0.64,-65.78,66.95,0,completed
7day-momentum-crypto,XRPUSDT,1d,177,59.32,0.59,-35.95,43.25,0,completed
7day-momentum-crypto,XRPUSDT,1w,11,72.73,2.19,6.49,5.26,0,completed
adx-ema-trend,BTCUSDT,1h,33,39.39,0.58,-3.53,4.54,0,completed
adx-ema-trend,BTCUSDT,4h,8,75.00,1.63,0.32,1.12,0,completed
adx-ema-trend,BTCUSDT,1d,1,100.00,Infinity,0.15,0.00,0,completed
adx-ema-trend,BTCUSDT,1w,1,0.00,0.00,-3.32,3.32,0,completed
adx-ema-trend,ETHUSDT,1h,41,46.34,0.70,-3.56,3.93,0,completed
adx-ema-trend,ETHUSDT,4h,8,62.50,0.48,-2.05,3.33,0,completed
adx-ema-trend,ETHUSDT,1d,5,60.00,0.22,-2.83,3.08,0,completed
adx-ema-trend,ETHUSDT,1w,0,0,0,0,0,0,no_trades
adx-ema-trend,SOLUSDT,1h,34,35.29,0.21,-10.15,10.20,0,completed
adx-ema-trend,SOLUSDT,4h,12,58.33,0.56,-2.86,4.15,0,completed
adx-ema-trend,SOLUSDT,1d,3,33.33,0.40,-2.70,4.43,0,completed
adx-ema-trend,SOLUSDT,1w,0,0,0,0,0,0,no_trades
adx-ema-trend,XRPUSDT,1h,39,53.85,1.21,-0.90,2.82,0,completed
adx-ema-trend,XRPUSDT,4h,11,36.36,1.12,0.15,5.74,0,completed
adx-ema-trend,XRPUSDT,1d,3,66.67,0.23,-1.74,2.16,0,completed
adx-ema-trend,XRPUSDT,1w,0,0,0,0,0,0,no_trades
altcoin-season,BTCUSDT,1h,0,0,0,0,0,0,no_trades
altcoin-season,BTCUSDT,4h,0,0,0,0,0,0,no_trades
