Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
momentum-rotation,BTCUSDT,4h,19,31.58,0.44,-1.58,-5.21,2.23,2993.68,success,
momentum-rotation,BTCUSDT,6h,26,38.46,0.70,-1.11,-2.78,2.64,4818.46,success,
momentum-rotation,BTCUSDT,8h,28,46.43,0.58,-1.70,-3.33,2.07,5845.71,success,
momentum-rotation,BTCUSDT,12h,31,29.03,0.15,-6.48,-12.15,7.39,8965.16,success,
momentum-rotation,BTCUSDT,1d,27,33.33,0.18,-6.70,-12.43,7.66,12800.00,success,
momentum-rotation,ETHUSDT,4h,51,21.57,0.14,-13.37,-10.42,14.06,2564.71,success,
momentum-rotation,ETHUSDT,6h,69,27.54,0.66,-8.04,-2.95,13.71,3949.57,success,
momentum-rotation,ETHUSDT,8h,60,23.33,1.17,2.30,0.33,7.86,6912.00,success,
momentum-rotation,ETHUSDT,12h,59,25.42,1.54,10.65,1.80,15.28,11214.92,success,
momentum-rotation,ETHUSDT,1d,25,40.00,0.74,-2.23,-2.71,7.80,18950.40,success,
momentum-rotation,SOLUSDT,4h,90,25.56,0.35,-13.29,-6.75,16.78,2349.33,success,
momentum-rotation,SOLUSDT,6h,94,37.23,1.20,2.27,-0.00,5.03,5518.72,success,
momentum-rotation,SOLUSDT,8h,91,52.75,2.66,25.94,4.42,3.45,8650.55,success,
momentum-rotation,SOLUSDT,12h,82,36.59,0.67,-9.53,-2.79,19.33,9781.46,success,
momentum-rotation,SOLUSDT,1d,62,25.81,0.41,-18.69,-5.24,22.55,22296.77,success,
momentum-rotation,BNBUSDT,4h,113,54.87,3.37,26.67,5.49,4.90,4991.15,success,
momentum-rotation,BNBUSDT,6h,115,40.00,1.24,2.64,0.38,6.08,5368.70,success,
momentum-rotation,BNBUSDT,8h,89,26.97,0.24,-16.75,-9.17,17.78,5619.78,success,
momentum-rotation,BNBUSDT,12h,101,40.59,1.27,2.73,-0.02,4.85,10144.16,success,
momentum-rotation,BNBUSDT,1d,50,56.00,2.00,5.92,3.84,3.12,19728.00,success,
momentum-rotation,DOTUSDT,4h,142,32.39,0.52,-18.48,-4.61,21.02,3243.38,success,
momentum-rotation,DOTUSDT,6h,114,34.21,1.05,0.57,0.13,10.34,5532.63,success,
momentum-rotation,DOTUSDT,8h,93,40.86,3.44,51.59,5.11,6.63,7705.81,success,
momentum-rotation,DOTUSDT,12h,79,18.99,1.04,1.31,0.54,27.77,11219.24,success,
momentum-rotation,DOTUSDT,1d,49,20.41,1.10,2.20,0.55,17.06,14223.67,success,
momentum-rotation,SUIUSDT,4h,190,26.32,1.35,15.48,0.98,12.08,3346.11,success,
momentum-rotation,SUIUSDT,6h,116,31.03,2.91,75.04,3.89,7.60,5862.41,success,
momentum-rotation,SUIUSDT,8h,96,36.46,3.48,68.69,4.60,6.70,8705.00,success,
momentum-rotation,SUIUSDT,12h,79,32.91,2.50,42.02,3.56,12.09,10690.63,success,
momentum-rotation,SUIUSDT,1d,55,40.00,1.78,15.16,2.41,9.71,18484.36,success,
momentum-rotation,XRPUSDT,4h,181,50.83,2.51,39.88,3.26,4.75,3678.23,success,
momentum-rotation,XRPUSDT,6h,173,49.71,2.92,67.56,3.53,7.16,5169.02,success,
momentum-rotation,XRPUSDT,8h,138,42.03,3.33,97.72,4.13,8.42,6991.30,success,
momentum-rotation,XRPUSDT,12h,121,40.50,2.66,47.65,3.39,8.77,10484.63,success,
momentum-rotation,XRPUSDT,1d,68,25.00,1.00,-0.33,0.05,8.38,14124.71,success,
momentum-rotation,ADAUSDT,4h,129,41.86,0.65,-9.51,-2.51,9.51,3026.98,success,
momentum-rotation,ADAUSDT,6h,93,36.56,2.89,55.83,4.69,11.97,6689.03,success,
momentum-rotation,ADAUSDT,8h,105,33.33,2.26,49.72,3.64,14.37,8123.43,success,
momentum-rotation,ADAUSDT,12h,99,33.33,1.14,4.89,0.76,17.40,11105.45,success,
momentum-rotation,ADAUSDT,1d,55,29.09,0.78,-6.43,-1.23,15.17,19479.27,success,
momentum-rotation,XLMUSDT,4h,153,45.10,1.77,36.71,2.75,17.02,2947.45,success,
momentum-rotation,XLMUSDT,6h,104,40.38,2.64,50.97,3.26,10.10,4389.23,success,
momentum-rotation,XLMUSDT,8h,95,31.58,2.36,41.26,3.29,13.54,5295.16,success,
momentum-rotation,XLMUSDT,12h,114,34.21,1.55,13.60,1.61,12.41,7932.63,success,
momentum-rotation,XLMUSDT,1d,71,14.08,0.26,-24.77,-7.17,24.77,13791.55,success,
momentum-rotation,XMRUSDT,4h,169,42.01,1.35,8.21,0.82,14.67,4105.56,success,
momentum-rotation,XMRUSDT,6h,127,51.18,3.36,43.77,3.14,6.97,5507.72,success,
momentum-rotation,XMRUSDT,8h,120,37.50,1.38,11.12,1.48,19.60,6428.00,success,
momentum-rotation,XMRUSDT,12h,108,50.93,2.36,24.95,4.25,8.96,12513.33,success,
momentum-rotation,XMRUSDT,1d,97,55.67,2.04,19.03,4.38,8.77,20679.59,success,
momentum-rotation,NEARUSDT,4h,211,39.81,1.23,12.57,1.17,19.46,4097.06,success,
momentum-rotation,NEARUSDT,6h,151,37.09,1.36,19.42,1.68,23.33,4839.74,success,
momentum-rotation,NEARUSDT,8h,110,25.45,0.92,-3.57,-0.34,21.14,6519.27,success,
momentum-rotation,NEARUSDT,12h,103,25.24,0.42,-25.81,-5.84,29.83,9234.17,success,
momentum-rotation,NEARUSDT,1d,69,28.99,0.42,-13.12,-5.17,13.12,14086.96,success,
momentum-rotation,UNIUSDT,4h,269,30.86,0.84,-10.78,-2.06,16.89,3037.92,success,
momentum-rotation,UNIUSDT,6h,202,27.23,1.16,10.28,0.18,22.08,5745.74,success,
momentum-rotation,UNIUSDT,8h,191,37.17,1.63,28.42,2.17,15.94,7164.82,success,
momentum-rotation,UNIUSDT,12h,134,38.06,1.09,3.63,0.61,16.73,9822.09,success,
momentum-rotation,UNIUSDT,1d,77,23.38,0.82,-9.81,-1.04,27.95,16251.43,success,
momentum-rotation,HBARUSDT,4h,262,38.17,1.10,6.02,0.58,25.88,3392.98,success,
momentum-rotation,HBARUSDT,6h,188,34.57,1.92,59.56,3.30,19.09,4687.66,success,
momentum-rotation,HBARUSDT,8h,167,25.75,1.79,60.24,2.57,22.35,5952.57,success,
momentum-rotation,HBARUSDT,12h,111,37.84,3.36,148.91,4.47,13.05,7757.84,success,
momentum-rotation,HBARUSDT,1d,66,19.70,1.80,32.22,2.81,15.28,11694.55,success,
momentum-rotation,TRXUSDT,4h,85,50.59,1.72,11.73,2.71,9.82,3986.82,success,
momentum-rotation,TRXUSDT,6h,70,40.00,2.57,27.31,3.55,10.45,5718.86,success,
momentum-rotation,TRXUSDT,8h,66,27.27,0.49,-14.02,-4.70,23.56,8429.09,success,
momentum-rotation,TRXUSDT,12h,59,37.29,1.13,1.49,0.40,11.69,8261.69,success,
momentum-rotation,TRXUSDT,1d,50,60.00,3.22,51.36,5.78,13.51,24912.00,success,
momentum-rotation,ZECUSDT,4h,246,36.99,0.90,-6.31,-0.91,13.54,3083.90,success,
momentum-rotation,ZECUSDT,6h,177,53.67,5.07,175.63,6.07,6.23,5662.37,success,
momentum-rotation,ZECUSDT,8h,146,50.00,3.21,147.88,5.71,10.71,9248.22,success,
momentum-rotation,ZECUSDT,12h,124,55.65,4.30,109.88,5.66,4.85,13122.58,success,
momentum-rotation,ZECUSDT,1d,79,48.10,4.77,230.32,6.58,11.02,28380.76,success,
momentum-rotation,LTCUSDT,4h,163,40.49,0.75,-11.28,-2.44,24.21,3099.39,success,
momentum-rotation,LTCUSDT,6h,124,40.32,1.10,1.85,-0.67,10.45,4976.13,success,
momentum-rotation,LTCUSDT,8h,91,61.54,3.41,30.63,5.92,3.65,8012.31,success,
momentum-rotation,LTCUSDT,12h,94,39.36,0.82,-6.00,-1.13,17.32,9375.32,success,
momentum-rotation,LTCUSDT,1d,59,32.20,0.61,-11.93,-3.21,21.97,25383.05,success,
momentum-rotation,AAVEUSDT,4h,155,32.90,0.32,-25.30,-7.81,29.14,2697.29,success,
momentum-rotation,AAVEUSDT,6h,158,27.22,1.25,8.94,0.92,15.93,5468.35,success,
momentum-rotation,AAVEUSDT,8h,130,35.38,1.95,34.69,2.44,14.89,7425.23,success,
momentum-rotation,AAVEUSDT,12h,104,21.15,0.30,-23.42,-7.82,24.06,9505.38,success,
